State,Year,Coal_Consumption,CO2_Emissions,NatGas_Consumption,Nuclear_Consumption,Renewable_Consumption,Total_Energy_Consumption,Region,Dominant_Energy_Source
AK,1997,11719.0,589.0,425394.0,0.0,8109.0,701267.0,West,Natural Gas
AK,1998,16471.0,347.0,434437.0,0.0,6084.0,715652.0,West,Natural Gas
AK,1999,16394.0,392.0,422817.0,0.0,5040.0,719766.0,West,Natural Gas
AK,2000,16455.0,171.0,437972.0,0.0,5574.0,735260.0,West,Natural Gas
AK,2001,15911.0,465.0,413049.0,0.0,8119.0,726418.0,West,Natural Gas
AK,2002,16429.0,335.0,420808.0,0.0,8526.0,723166.0,West,Natural Gas
AK,2003,12552.0,224.0,415891.0,0.0,8974.0,722838.0,West,Natural Gas
AK,2004,14075.0,441.0,407944.0,0.0,8964.0,765107.0,West,Natural Gas
AK,2005,13994.0,0.0,434704.0,0.0,6220.0,788012.0,West,Natural Gas
AK,2006,14981.0,0.0,375719.0,0.0,5330.0,738306.0,West,Natural Gas
AK,2007,13662.0,0.0,372186.0,0.0,5674.0,714615.0,West,Natural Gas
AK,2008,14705.0,0.0,343938.0,0.0,5363.0,642737.0,West,Natural Gas
AK,2009,14505.0,0.0,343971.0,0.0,7238.0,631141.0,West,Natural Gas
AK,2010,14548.0,0.0,334978.0,0.0,7793.0,629323.0,West,Natural Gas
AK,2011,15481.0,0.0,339819.0,0.0,7523.0,631768.0,West,Natural Gas
AK,2012,15521.0,0.0,347228.0,0.0,7954.0,620717.0,West,Natural Gas
AK,2013,14819.0,0.0,332631.0,0.0,8940.0,587689.0,West,Natural Gas
AK,2014,18225.0,2055.0,329274.0,0.0,11523.0,585727.0,West,Natural Gas
AK,2015,19511.0,0.0,333936.0,0.0,13526.0,603471.0,West,Natural Gas
AK,2016,16613.0,0.0,330883.0,0.0,14371.0,582349.0,West,Natural Gas
AK,2017,16376.0,0.0,343899.0,0.0,13136.0,590557.0,West,Natural Gas
AK,2018,17325.0,0.0,346255.0,0.0,13694.0,593777.0,West,Natural Gas
AK,2019,17620.0,0.0,343384.0,0.0,12952.0,595801.0,West,Natural Gas
AK,2020,18527.0,0.0,374561.0,0.0,9757.0,626207.0,West,Natural Gas
AK,2021,18694.0,0.0,395590.0,0.0,9597.0,684975.0,West,Natural Gas
AK,2022,18615.0,0.0,437916.0,0.0,10410.0,730277.0,West,Natural Gas
AK,2023,18414.0,0.0,448087.0,0.0,10087.0,746978.0,West,Natural Gas
AL,1997,867264.0,345.0,337453.0,310336.0,221668.0,1903449.0,South,Coal
AL,1998,856479.0,284.0,341976.0,300698.0,245667.0,1946380.0,South,Coal
AL,1999,866512.0,37.0,349080.0,322826.0,237358.0,2002228.0,South,Coal
AL,2000,904181.0,0.0,368472.0,327143.0,223807.0,2065056.0,South,Coal
AL,2001,842337.0,1294.0,344004.0,317019.0,195008.0,1859587.0,South,Coal
AL,2002,845999.0,881.0,389965.0,332650.0,193946.0,1920029.0,South,Coal
AL,2003,873735.0,1272.0,360505.0,330137.0,199714.0,1897040.0,South,Coal
AL,2004,853917.0,2519.0,391927.0,329898.0,223107.0,2017765.0,South,Coal
AL,2005,890098.0,165.0,363398.0,330761.0,213168.0,2018912.0,South,Coal
AL,2006,886678.0,152.0,402044.0,332992.0,219762.0,2050932.0,South,Coal
AL,2007,888436.0,474.0,430649.0,360036.0,202747.0,2067485.0,South,Coal
AL,2008,842826.0,3740.0,414260.0,407551.0,198348.0,1976589.0,South,Coal
AL,2009,630969.0,9132.0,466272.0,415392.0,194840.0,1749863.0,South,Coal
AL,2010,718684.0,23273.0,544405.0,396557.0,210935.0,1906324.0,South,Coal
AL,2011,651032.0,21996.0,609288.0,411822.0,224020.0,1882660.0,South,Coal
AL,2012,547004.0,21273.0,677380.0,427975.0,220139.0,1863224.0,South,Natural Gas
AL,2013,565051.0,21881.0,625869.0,426488.0,257048.0,1882183.0,South,Natural Gas
AL,2014,575912.0,22074.0,650570.0,431368.0,236143.0,1930039.0,South,Natural Gas
AL,2015,494311.0,23110.0,701582.0,438728.0,225388.0,1880980.0,South,Natural Gas
AL,2016,410168.0,23662.0,715033.0,417334.0,217520.0,1895651.0,South,Natural Gas
